ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
SWX,"Southwest Gas Holdings, Inc.",SWX.1Q15,4700,4735,1Q15,2015/1F,11.0,05/06/2015,-0.6,1.60,1.53,-0.07,25.2,3,5/5/2015,5/11/2015,-0.6,0.8,-1.5,5,4/29/2015,1.65,1.50,0.15,-0.445
SWN,Southwestern Energy Company,SWN.1Q15,2100,2105,1Q15,2015/1F,289.5,04/24/2015,1.6,0.22,0.22,0.00,1.5,5,4/23/2015,4/29/2015,1.6,-0.4,2.0,32,4/17/2015,0.38,0.08,0.30,0.001
CODE,Spansion Inc. Class A,CODE.1Q15,1300,1310,1Q15,2015/1F,50.3,05/05/2015,#N/A,#N/A,#N/A,#N/A,#N/A,2,5/4/2015,5/8/2015,,0.1,#VALUE!,0,4/28/2015,,,#VALUE!,#N/A
SE.I,Spectra Energy Corp,SE.I.1Q15,3100,3130,1Q15,2015/1F,182.1,05/06/2015,-2.3,0.43,0.41,-0.02,-9.4,3,5/5/2015,5/11/2015,-2.3,0.8,-3.1,10,4/29/2015,0.48,0.37,0.11,-0.151
SEP,"Spectra Energy Partners, LP",SEP.1Q15,3100,3130,1Q15,2015/1F,13.4,05/06/2015,-3.5,0.81,0.97,0.16,-2.8,3,5/5/2015,5/11/2015,-3.5,0.8,-4.4,12,4/29/2015,1.02,0.66,0.36,0.443
SPNC,Spectranetics Corporation,SPNC.1Q15,2300,2325,1Q15,2015/1F,12.5,04/24/2015,-23.6,-0.25,-0.30,-0.05,-4.6,5,4/23/2015,4/29/2015,-23.6,-0.4,-23.2,9,4/17/2015,-0.09,-0.32,0.23,-0.229
SPB.1,"Spectrum Brands Holdings, Inc.",SPB.1.1Q15,1200,1235,1Q15,2015/2F,26.6,04/29/2015,5.1,0.77,0.69,-0.08,0.5,3,4/28/2015,5/4/2015,5.1,-0.1,5.2,9,4/22/2015,0.83,0.72,0.11,-0.730
SR,Spire Inc.,SR.1Q15,4700,4735,1Q15,2015/2F,11.0,05/06/2015,1.4,2.13,2.25,0.12,-9.3,3,5/5/2015,5/11/2015,1.4,0.8,0.6,8,4/29/2015,2.17,2.08,0.09,1.289
SPR,"Spirit AeroSystems Holdings, Inc. Class A",SPR.1Q15,1300,1330,1Q15,2015/1F,59.5,04/29/2015,0.0,0.93,1.00,0.07,4.3,3,4/28/2015,5/4/2015,0.0,-0.1,0.2,13,4/22/2015,0.97,0.90,0.07,1.028
SAVE,"Spirit Airlines, Inc.",SAVE.1Q15,4600,4610,1Q15,2015/1F,80.6,04/29/2015,-11.3,0.96,0.96,0.00,-0.4,3,4/28/2015,5/4/2015,-11.3,-0.1,-11.2,16,4/22/2015,1.01,0.93,0.08,0.008
SRC,"Spirit Realty Capital, Inc.",SRC.1Q15,4800,4890,1Q15,2015/1F,53.2,05/08/2015,-1.6,0.22,0.16,-0.06,3.0,5,5/7/2015,5/13/2015,-1.6,0.5,-2.1,4,5/1/2015,0.25,0.20,0.05,-1.116
SPLK,Splunk Inc.,SPLK.1Q15,3300,3308,1Q15,2015/1F,125.8,05/29/2015,-6.0,-0.03,-0.01,0.02,6.5,5,5/28/2015,6/3/2015,-6.0,-0.2,-5.8,31,5/22/2015,0.01,-0.05,0.06,0.261
S,Sprint Corp.,S.1Q15,4900,4915,1Q15,2014/4F,75.5,05/05/2015,-7.4,-0.06,-0.06,0.00,-2.1,2,5/4/2015,5/8/2015,-7.4,0.1,-7.4,21,4/28/2015,0.09,-0.13,0.22,-0.017
SFM,"Sprouts Farmers Markets, Inc.",SFM.1Q15,3500,3505,1Q15,2015/1F,47.7,05/08/2015,-1.7,0.26,0.25,-0.01,-1.1,5,5/7/2015,5/13/2015,-1.7,0.5,-2.2,19,5/1/2015,0.28,0.24,0.04,-0.299
SRCI,SRC Energy Inc,SRCI.1Q15,2100,2105,1Q15,2015/2F,21.7,04/09/2015,2.4,0.04,0.07,0.03,-16.2,4,4/8/2015,4/14/2015,2.4,0.6,1.8,17,4/2/2015,0.09,-0.01,0.10,0.320
SSNC,"SS&C Technologies Holdings, Inc.",SSNC.1Q15,3300,3308,1Q15,2015/1F,19.8,04/28/2015,-3.5,0.30,0.30,0.00,-0.9,2,4/27/2015,5/1/2015,-3.5,-0.1,-3.4,7,4/21/2015,0.30,0.29,0.01,0.357
